nombre,categoria,tiempo,dificultad,porciones,ingredientes,pasos,img,user
6 JUGOS DETOX,Bebidas,20 mins,Facil,1,"['1/4 jengibre, Verde quema grasa', '1 limón amarillo, Verde quema grasa', '1/2 tazas de kale, Verde quema grasa', '1/2 tazas de espinaca, Verde quema grasa', '1/4 manojos de perejil, Verde quema grasa', '1 manzana, Verde quema grasa', '2 apios, tallos Verde quema grasa', '1/4 pepinos, Verde quema grasa', '1/8 jengibre, Verde quema grasa', '2 limones, Verde quema grasa', '1/2 pepinos, Verde hidratante', '1 taza de espinaca, Verde hidratante', '1 manzana, Verde hidratante', '1 limón, Verde hidratante', '1 taza de agua de coco, Verde hidratante', '1 taza de piña, Amarillo Energizante', '1 manzana, Amarillo Energizante', '1 rama de menta, Amarillo Energizante', '1 chile serrano, Amarillo Energizante', '2 limones, Amarillo Energizante', '1 betabel, Rojo revitalizante', '1 manzana, Rojo revitalizante', '1 zanahoria, Rojo revitalizante', '1/4 jengibre, Rojo revitalizante', '2 limones, Rojo revitalizante', '1 taza de toronja, Naranja anti antojos', '1 taza de naranja, Naranja anti antojos', '1/4 cucharadas de pimienta cayena, Naranja anti antojos', '1 taza de leche de almendra, Postre saludable', '1 cucharadita de canela, Postre saludable', '1 cucharadita de vainilla líquida, Postre saludable', '1 pizca de sal, Postre saludable', '1/4 tazas de dátil sin hueso, Postre saludable']","['Coloca los ingredientes de cada jugo en un extractor para jugo y procesa. Vierte en un vaso, si es necesario agrega un poco de agua para aligerar.']",https://cdn7.kiwilimon.com/brightcove/3854/3854.jpg,32
PONCHE,Bebidas,15 mins,Media,10,"['canela, al gusto', '4 tazas de agua de jamaica', '10 guayabas, cortadas a la mitad', '1 1/2 tazas de tamarindo', '20 tejocotes', '1 taza de pasa', '2 tazas de chabacano, seco', '2 tazas de ciruela pasa', '10 cañas, en trozos', '8 manzanas, en rodajas', 'té negro, al gusto', 'clavos, al gusto']","['Mezclar todos los ingredientes y 15 21 de agua en una olla grande.', 'Cocer a fuego bajo por 1 hora y media.']",https://cdn7.kiwilimon.com/brightcove/1084/1084.jpg,33
COFFEE TONIC COLD BREW,Bebidas,30 mins,Facil,1,"['50 gramos de café, San Alberto, molido', '500 mililitros de agua, fría', '150 mililitros de café, cold brew, para el coffee tonic', '50 mililitros de agua tónica, para el coffee tonic', '2 cubos de hielo, para el coffee tonic', '1 limón, rodaja, para el coffee tonic']","['Para el cold brew, en una jarra de vidrio agrega el café molido y enseguida vierte el agua fría sobre él. Revuelve constantemente con ayuda de una cuchara.', 'Tapa la jarra con film estirable y refrigera de 18 a 24 horas. Una vez que se cumplan 12 horas, revuelve nuevamente con la ayuda de una cuchara.', 'Una vez que pase el tiempo mencionado, filtra el líquido con un colador o un filtro de papel. Reserva en refrigeración.', 'Para el coffee tonic, agrega en un vaso 2 cubos de hielo y sirve 50 ml de agua tónica. Añade 150 ml. De cold brew. Decora con una rodaja de limón.']",https://cdn7.kiwilimon.com/brightcove/8587/8587.jpg,34
HORCHATA DE ALMENDRA CALIENTE,Bebidas,10 mins,Facil,4,"['1/4 tazas de almendra', '1/4 tazas de arroz, remojado en agua caliente por 15 minutos y escurre', '4 tazas de leche de almendra', '1 cucharadita de canela en polvo', '1 cucharadita de esencia de vainilla', '2 cucharadas de fruta del monje', 'suficiente de leche de almendra, para escarchar', 'suficiente de canela en polvo, para escarchar']","['Licúa la almendra junto con el arroz, la leche de almendra, la canela en polvo, la esencia de vainilla y la fruta del moje hasta integrar por completo.', 'Vierte lo licuado en una olla, calienta a fuego medio y mueve constantemente para que no se pegue, retira del fuego una vez que el líquido comience a hervir. Reserva caliente.', 'Escarcha un vaso apto para el calor con leche de almendra y canela en polvo, después sirve la horchata de almendra caliente y decora con una rama de canela.']",https://cdn7.kiwilimon.com/brightcove/8557/8557.jpg,35
¿CÓMO HACER LECHE DORADA?,Bebidas,5 mins,Facil,4,"['4 tazas de leche de soya', '5 rebanadas de jengibre', '1/2 cucharaditas de canela', '1 1/2 cucharadas de cúrcuma', 'suficiente de miel, al gusto']","['Calienta la leche de soya en una olla hasta que rompa hervor y después agrega el jengibre, la canela y la cúrcuma. Deja calentando por 5 minutos más.', 'Retira la leche dorada del calor y deja reposar 5 min.', 'Sirve la leche dorada caliente y disfruta.']",https://cdn7.kiwilimon.com/brightcove/8470/8470.jpg,36
ATOLE DE CEMPASÚCHIL,Bebidas,20 mins,Facil,6,"['1 1/2 tazas de flor de cempasúchil, orgánicas', '2 tazas de agua', '8 tazas de leche entera', '150 gramos de masa de maíz, para tortillas', '1 cono de piloncillo, o al gusto, puede ser rallado', '1 raja de canela', '1 cáscara de naranja, sin la parte blanca', 'suficiente de flor de cempasúchil, para decorar', 'suficiente de raja de canela, para decorar']","['Quita los pétalos de las flores hasta obtener 1 ½ tazas y licúalos con el agua hasta moler perfectamente. Reserva.', 'Licúa la leche con la masa de maíz hasta integrar por completo. Reserva.', 'Calienta la leche licuada con la masa en una olla profunda a fuego medio bajo; una vez que comience a tener una burbuja pequeña, añade el piloncillo, la canela en raja y la piel de naranja, y cocina 10 minutos más. Vierte la mezcla de flores e integren perfectamente; cocina hasta obtener la consistencia deseada. Reposa 5 minutos antes de servir.', 'Sirve y decora con pétalos de flores de cempasúchil y canela.']",https://cdn7.kiwilimon.com/brightcove/8246/8246.jpg,37
CHAMPURRADO BAJO EN CALORÍAS,Bebidas,20 mins,Facil,4,"['1 taza de leche de soya, Facil en calorías', '1/2 tazas de masa de maíz', '4 tazas de leche de soya, Facil en calorías', '1 raja de canela', '1 tableta de chocolate, de mesa, sin azúcar', '1/4 tazas de sustituto de azúcar', 'suficiente de canela, para decorar']","['Licúa una taza de leche de soya Facil en calorías con la masa de maíz.', 'En una olla a fuego medio calienta el resto de la leche de soya Facil en calorías con la raja de canela, agrega la tableta de chocolate sin azúcar y cocina hasta que se disuelva, moviendo constantemente.', 'Vierte la leche con la masa y cocina por 10 minutos más sin dejar de mover, hasta tener una consistencia espesita.', 'Sirve caliente en tazas.']",https://cdn7.kiwilimon.com/brightcove/4865/4865.jpg,38
ATOLE DE CAFÉ BAJO EN CALORÍAS,Bebidas,15 mins,Facil,4,"['1 taza de leche de almendra, Facil en calorías', '3 cucharadas de fécula de maíz', '4 tazas de leche de almendra, Facil en calorías', '1 raja de canela', '1/4 tazas de sustituto de azúcar', '3 cucharadas de café soluble', 'suficiente de granos de café']","['En una taza, disuelve la fécula de maíz con una taza de leche de almendras Facil en calorías.', 'Calienta a fuego bajo el resto de la leche con la raja de canela, agrega el sustituto de azúcar, el café soluble y la leche con la fécula. Cocina por 10 minuto sin dejar de mover, hasta tener una consistencia espesita.', 'Sirve caliente y decora con granos de café.']",https://cdn7.kiwilimon.com/brightcove/4867/4867.jpg,39
ATOLE DE ARROZ BAJO EN CALORÍAS,Bebidas,25 mins,Facil,4,"['1 taza de leche deslactosada, Facil en calorías', '2 cucharadas de fécula de maiz', '4 tazas de leche deslactosada', '1/4 tazas de sustituto de azúcar', '1 raja de canela', '1/4 tazas de arroz, enjuagado', 'suficiente de canela, para decorar']","['Disuelve la fécula de maíz en una taza de leche deslactosada Facil en calorías.', 'Calienta el resto de la leche, agrega el sustituto de azúcar, la raja de canela y el arroz. Cocina por 15 minutos.', 'Agrega la leche con la fécula y cocina por 10 minutos o hasta que espese y el arroz esté suave.', 'Sirve caliente, decorado con canela en polvo.']",https://cdn7.kiwilimon.com/brightcove/4868/4868.jpg,40
LECHE DE ARROZ CASERA,Bebidas,15 mins,Facil,8,"['2 tazas de arroz integral', '8 tazas de agua']","['Calienta una olla a fuego medio y cocina el arroz con el agua, hasta que se suavice.', 'Licúa el arroz con el agua hasta obtener una mexcla homogénea. Con ayuda de una manta de cielo o un trapo limpio y un colador, cuela la preparación hasta extraer todo el líquido.', 'Sirve la leche de arroz en frascos de vidrio y disfruta.']",https://cdn7.kiwilimon.com/brightcove/4788/4788.jpg,41
MARGARITA FRAPPÉ DE PONCHE DE FRUTAS,Bebidas,30 mins,Facil,6,"['2 litros de agua, para ponche', '2 rajas de canela, para ponche', '1 piloncillo, para ponche', '1 taza de caña de azúcar, cortada en palitos, para ponche', '1 taza de manzana, cortada en cubos, para ponche', '5 guayabas, pelada y cortada a la mitad, para ponche', '1/2 naranjas, cortada a la mitad, para ponche', '1 taza de tamarindo, pelado', '1/4 tazas de flor de jamaica, para ponche', '2 anís estrella, para ponche', '2 tazas de hielo, para la margarita', '1/2 tazas de tequila, para la margarita', '1/3 tazas de licor de naranja, para la margarita', '4 cucharadas de jugo de limón, para la margarita', '1/4 tazas de piloncillo, rallado, para escarchar', '1/4 tazas de chile en polvo, para escarchar', '4 cucharadas de azúcar, para escarchar', 'suficiente de naranja, para escarchar']","['Para el ponche, en una ollita hierve el agua con la canela, el piloncillo, la caña, la manzana, la guayaba, la naranja, el tamarindo, la flor de jamaica, el anís, hasta que suelten sus sabores, cuela y reserva la fruta separada del ponche. Enfría.', 'Para la margarita, licúa el hielo con 1 taza de ponche de frutas y media taza de la fruta, el tequila, el licor de naranja y el jugo de limón hasta que obtengas una mezcla espesa. Reserva.', 'En un tazón mezcla el piloncillo con el chile en polvo y el azúcar. Escarcha las copas para margarita humedeciendo los bordes con naranja y pasando por la mezcla anterior. Sirve la margarita en las copas y decora con un poco de la fruta que reservaste.']",https://cdn7.kiwilimon.com/brightcove/4644/4644.jpg,42
RICO ATOLE DE FRESA,Bebidas,10 mins,Facil,8,"['4 tazas de leche de vaca', '4 tazas de agua', '1/2 tazas de azúcar morena', '3 tazas de fresa, lavadas y desinfectadas', '1 cucharada de vainilla líquida', '1/4 tazas de masa de maíz', '1/2 tazas de avena', '1 vara de canela', '2 anís estrella', 'suficiente de fresa, para servir']","['Licúa la leche con el agua, el azúcar, las fresas, la vainilla, la masa de maíz y la avena hasta obtener una mezcla homogénea.', 'Calienta el atole en una ollita a fuego medio con la canela y el anís estrella y cocina sin dejar de mover hasta que espese, sirve caliente y decora con fresas y canela. Disfruta.']",https://cdn7.kiwilimon.com/brightcove/4555/4555.jpg,43
ATOLE DE MAZAPÁN,Bebidas,15 mins,Facil,8,"['4 tazas de leche de vaca', '1 taza de agua', '1/2 tazas de leche evaporada', '1/2 tazas de leche condensada light', '5 mazapanes', '5 cucharadas de fécula de maíz', '1 raja de canela, para cocer atole y para servir']","['Licúa la leche entera con el agua, la leche evaporada, la leche condensada, el mazapán, la fécula de maíz hasta conseguir una mezcla homogénea.', 'Calienta una ollita a fuego medio, vierte la preparación anterior, agrega las canela y cocina hasta que espese, sirve el atole y disfruta calientito.']",https://cdn7.kiwilimon.com/brightcove/4522/4522.jpg,15
CAFÉ DE OLLA CON CHOCOLATE,Bebidas,30 mins,Facil,10,"['6 tazas de agua', '2 tazas de chocolate de mesa', '1 raja de canela', '2 clavos', '1/2 tazas de café']","['En una ollita a fuego alto calienta el agua hasta hervir. Agrega el chocolate, la canela y el clavo, luego Facil el fuego, mueve constantemente y hierve por 15 minutos. Entonces añade el café y apaga.', 'Mezcla y deja reposar 20 minutos hasta que el café se haya asentado.', 'Cuela, sirve y disfruta.']",https://cdn7.kiwilimon.com/brightcove/5747/5747.jpg,15
TEJUINO,Bebidas,15 mins,Facil,8,"['1 1/2 tazas de masa de maíz', '2 tazas de agua', '2 tazas de piloncillo, en conos pequeños', '6 tazas de agua', '1/2 tazas de jugo de limón', 'suficiente de hielo', '1 bola de nieve de limón, opcional', 'suficiente de limón, un cuarto de rodaja']","['Licúa la masa de maíz con agua hasta que esté tersa y reserva.', 'Hierve el agua y el piloncillo hasta que se deshaga por completo, por alrededor de 5 minutos.', 'Agrega la masa de maíz licuada y cocina por 10 minutos o hasta que espese.', 'Agrega el jugo de limón y tapa con una tela de algodón.', 'Reposa por 24 horas, remueve y si está demasiado espeso, puedes diluir con un poco de agua.', 'Sirve en un vaso escarchado con sal, el tejuino, una bola de nieve de limón y decora con limón.']",https://cdn7.kiwilimon.com/brightcove/8270/8270.jpg,15
¿CÓMO HACER CHAI CASERO?,Bebidas,15 mins,Facil,4,"['3 tazas de leche', '1 1/2 tazas de agua', '1 cucharadita de cardamomo, entero', '1 cucharadita de pimienta negra entera', '4 clavos', '3 anís estrella', '1 cucharadita de jengibre molido', '1/2 rajas de canela', '6 cucharadas de azúcar morena', '2 cucharadas de té negro', 'suficiente de anís estrella, para decorar', 'suficiente de canela, para decorar']","['Calienta la leche y el agua a temperatura media y mantenla en el fuego.', 'Con ayuda de un molcajete o mortero muele una a una las especias y agrégalas a la leche lentamente. El proceso de infusión total será de apróximadamente 15 minutos.', 'Finalmente agrega el azúcar y el té negro; infusiona por 1 min y cuela.', 'Sirve en tazas o vasos resistentes al calor; decora con canela y anís estrella.']",https://cdn7.kiwilimon.com/brightcove/7498/7498.jpg,14
BAILEYS CASERO,Bebidas,10 mins,Facil,6,"['1 1/2 tazas de leche evaporada', '1 litro de leche', '1 cucharadita de bicarbonato', '1 cucharadita de sal', '2 cucharadas de fécula de maíz', '1 1/2 tazas de leche condensada', '2 cucharadas de cocoa', '2 cucharadas de café soluble', '2 cucharadas de esencia de vainilla', '2 tazas de whisky', 'suficiente de churro, para acompañar']","['En una olla cocina la leche evaporada, la leche, el bicarbonato y la sal. Cocina por 5 minutos.', 'En un bowl agrega una cucharada de la mezcla anterior y disuelve la fécula de maíz, agrégalo a la olla y cocina por 5 minutos hasta que espese.', 'A fuego bajo agrega la leche condensada, la cocoa, el café y la vainilla. Cocina por 3 minutos y retira del fuego.', 'Cambia a un bowl y agrega el whisky, bate para integrar y deja enfriar', 'Sirve en un vaso bajo con hielos y acompaña con unos ricos churros.']",https://cdn7.kiwilimon.com/brightcove/7402/7402.jpg,14
BOMBA DE MICHELADA,Bebidas,15 mins,Facil,4,"['1 taza de azúcar, para la base', '2 cucharadas de chile en polvo, para la base', '1 cucharada de chile en polvo, con azúcar, para la base', '2 cucharadas de chile en polvo, con sal, para la base', '2 cucharadas de jugo de limón, para la base', '4 cucharadas de chamoy líquido, para la base', '10 dulces de tamarindo, para el relleno', '1/2 tazas de jugo de tomate con almejas, para el relleno', '1/4 tazas de salsa picante, para el relleno', '3 cucharadas de jugo de limón, sin semillas, para el relleno', '1 cucharada de jugo sazonador, para el relleno', '2 cucharadas de salsa inglesa, para el relleno', '1 cucharada de chile en polvo, para el relleno', '1 cucharada de chile en polvo, con sal, para cubrir las esferas', 'suficiente de gomita enchilada, para el relleno', 'suficiente de gomita, dulce, para el relleno', 'suficiente de chile en polvo, para el relleno', 'al gusto de cerveza clara', 'suficiente de botana, para acompañar']","['En una olla de acero inoxidable o antiadherente, vierte el azúcar con el jugo de limón y calienta un par de minutos; agrega el chile en polvo, el chile en polvo con azúcar y el chile en polvo con sal, cocina a fuego medio bajo hasta que el azúcar comience a hacerse líquido por 5 min, mueve constantemente con una cuchara de madera. Agrega el chamoy líquido e integra, cocina a fuego bajo hasta que tenga una consistencia espesa. Recuerda que para saber sí la consistencia es la correcta, puedes colocar una gota de la mezcla en un vaso con agua, sí se forma una gota sólida, la mezcla estará lista.', 'Vierte la mezcla anterior, con ayuda de una cuchara, en moldes de silicón en forma de media esfera, cuida mucho de hacerlo con cuidado por la temperatura del azúcar, esparce bien cubriendo toda la forma. Congela hasta que las piezas se vuelvan sólidas.', 'Mientras se congelan las medias esferas, prepara el relleno. En una olla de acero inoxidable o antiadherente, cocina a fuego bajo los pulparindos, agrega el jugo de tomate y almeja, la salsa picante, el jugo de limón, el jugo sazonador, la salsa inglesa y el chile en polvo, cocina hasta que la consistencia sea semi espesa. Retira del fuego y enfría ligeramente, esta preparación también te ayudará a pegar las esferas.', 'Rellena las esferas con la mezcla de salsas, agrega gomitas enchiladas, gomitas dulces y chile en polvo. Cierra la esfera con otra pieza pegando todo con la mezcla del relleno, espolvorea con chile y refrigera nuevamente para mantener solidas las piezas.', 'Escarcha un vaso o copa de cerveza con chamoy y chile en polvo, sirve la cerveza hasta la mitad y vierte la bomba, termina de rellenar con mucho cuidado. Disfruta con botana.']",https://cdn7.kiwilimon.com/brightcove/7325/7325.jpg,15
ATOLE DE VAINILLA CON PASTEL DE ELOTE,postres,30 mins,Facil,6,"['1 sobre de atole de vainilla marca Maizena®', '1 litro de leche de vaca', '1 1/2 cucharadas de fécula de maiz, Marca Maizena®', '4 huevos', '1 barra de mantequilla', '4 elotes en grano, crudo', '1 lata de leche condensada']","['Para el atole: Verter en un recipiente un poco de leche.', 'Agregar un sobre de atole de vainilla marca Maizena® y mezclar.', 'Dejar hervir con el resto de la leche por 5 minutos.', 'Para el pastel de elote: Precalentar el horno a 180°C, engrasar y enharinar un molde.', 'Licuar el elote desgranado, los huevos, la mantequilla derretida, la Fécula de Maíz Marca Maizena® y la leche condensada.', 'Vaciar la mezcla al molde y hornear a 180°C por 30 minutos o hasta que esté cocido.', 'Dejar enfriar un poco y cuando esté tibio desmoldar.']",https://cdn7.kiwilimon.com/brightcove/456/456.jpg,14
"ARROZENA DE FRUTAS, JENGIBRE Y MIEL",Bebidas,8 mins,Facil,3,"['4 tazas de agua', '1/2 tazas de miel', '2 cucharadas de jengibre', '1/2 tazas de harina de arroz Tres Estrellas®', '1 taza de hielo', '1 cucharada de avena', '1 taza de jugo de naranja', '1 taza de jugo de toronja', '1/2 tazas de guayaba, en cuartos', '1/4 tazas de piña, en cubos']","['En una olla calienta el agua, agrega la miel y el jengibre. Incorpora la Harina de arroz Tres estrellas® y mueve hasta integrar. Hierve por 5 minutos. Retira del fuego y enfría.', 'En una licuadora coloca los hielos, la avena, el jugo de naranja, el jugo de toronja, la guayaba y la piña. Añade una taza de la mezcla de Harina de arroz Tres estrellas® y licúa.', 'Sirve bien frío y decora con rodajas de toronja, piña y guayaba. ¡Disfruta!']",https://cdn7.kiwilimon.com/brightcove/6607/6607.jpg,15
MOJITO DE ARÁNDANO,Bebidas,10 mins,Facil,4,"['1/2 tazas de arándano', '1 taza de azúcar', '1 taza de agua', '1/2 tazas de hierbabuena', '1/2 tazas de jugo de limón', 'suficiente de hielo', '4 onzas de ron blanco', '2 latas de Canada Dry® Cranberry Ginger Ale', 'suficiente de limón, en rodajas, para decorar', 'cerezas, para decorar']","['En una ollita, cocina los arándanos con el azúcar y el agua por 10 minutos a fuego medio, hasta que los arándanos se hayan suavizado. Deja enfriar, licúa y reserva.', 'En un vaso vierte el concentrado de arándano, la hierbabuena, el jugo de limón y aplasta suavemente la hierbabuena. Añade el hielo, el ron y rellena con Canada Dry® Cranberry Ginger Ale.', 'Decora con una rodaja de limón y cerezas.']",https://cdn7.kiwilimon.com/brightcove/6212/6212.jpg,14
ATOLE DE ROMPOPE,Bebidas,10 mins,Facil,6,"['1 taza de leche condensada', '1 taza de rompope', '3 tazas de leche', '1/3 tazas de harina de arroz', '1 raja de canela']","['Licúa la leche condensada con el rompope, la leche y la harina de arroz. Reserva.', 'En una ollita a fuego lento, cocina el atole con la raja de canela sin dejar de mover, hasta que espese.', 'Sirve en una taza y acompaña con pan dulce.']",https://cdn7.kiwilimon.com/brightcove/6197/6197.jpg,15
MALTEADA DE GALLETA,Bebidas,5 mins,Facil,4,"['5 bolas de helado de vainilla', '1 taza de leche evaporada', '8 galletas Chokis®, clásica', '1 taza de azúcar, para la salsa de caramelo', '1/4 tazas de agua, para la salsa de caramelo', '1 cucharada de jugo de limón, para la salsa de caramelo', '2 cucharadas de mantequilla, para la salsa de caramelo', '3/4 tazas de crema, para la salsa de caramelo', 'galletas Chokis®, clásica', 'suficiente de crema batida, para decorar']","['Para la malteada, licúa el helado, la leche evaporada y las Galletas Chokis® clásica.', 'Para la salsa de caramelo, en una olla a fuego medio cocina el azúcar, el agua y el jugo de limón hasta formar un caramelo color dorado, agrega la mantequilla y mezcla; luego añade la crema y mezcla perfectamente hasta disolver el azúcar. Retira del fuego y reserva.', 'Decora el vaso con la salsa de caramelo en la orilla y escarcha con Galletas Chokis®clásica, decora el vaso por dentro con la salsa y vacía la malteada.', 'Decora con crema batida y Galletas Chokis® clásica troceadas.']",https://cdn7.kiwilimon.com/brightcove/6193/6193.jpg,14
PONCHE NAVIDEÑO CON VINO,Bebidas,10 mins,Facil,12,"['8 tazas de agua', '1/2 tazas de flor de jamaica', '1 taza de azúcar', '1 raja de canela', 'clavos de olor', '1 rama de romero fresco', '1 taza de manzana, cortada en gajos', 'hielos', '2 toronjas, cortadas en rodajas', '4 guayabas, cortadas en rodajas', '4 tazas de vino tinto', 'ramas de romero fresco, para decorar']","['En una ollita a fuego medio, calienta el agua, agrega la jamaica, el azúcar, la canela, los clavo, el romero fresco, deja hervir y entonces añade la manzana. Cocina 10 minutos, retira del fuego y deja enfriar.', 'En una jarra con hielos, acomoda la toronja, la guayaba, vierte la preparación anterior, el vino y el romero fresco.', 'Sirve y disfruta frío.']",https://cdn7.kiwilimon.com/brightcove/6155/6155.jpg,15
ATOLE DE NUEZ CASERO,Bebidas,10 mins,Facil,8,"['2 tazas de nuez pecana', '1 taza de azúcar', '1 cucharadita de vainilla líquida', '4 tazas de leche de vaca', '1 raja de canela', '4 cucharadas de fécula de maíz, (hidratada con agua)', 'nueces, picada, para decorar']","['Licúa la nuez, el azúcar, la vainilla y la leche.', 'Vierte la preparación en una ollita, agrega la canela, la fécula de maíz hidratada con agua y cocina por 10 minutos. Decora con nuez picada y disfruta.']",https://cdn7.kiwilimon.com/brightcove/6056/6056.jpg,14
MALTEADA PAYASUSTO,Bebidas,15 mins,Facil,4,"['1 paleta Payasusto Ricolino®', '4 bolas de helado de vainilla', '1 taza de leche de vaca', '1 taza de chocolate blanco, troceado', 'suficiente de colorante vegetal, morado', '1 cucharada de brillo neutro', 'suficiente de colorante verde', 'suficiente de crema batida, para decorar', 'suficiente de azúcar, de colores para decorar']","['En una olla a fuego medio calienta la leche por 5 minutos, agrega el chocolate y mezcla. Enfría a temperatura ambiente y reserva.', 'En una bolsa de plástico mezcla el azúcar y el colorante morado, hasta que el azúcar se pinte por completo.', 'Con ayuda de una brocha, barniza con brillo el vaso y cubre con la azúcar morada. Reserva.', 'Licúa el helado con la leche y unas gotitas de colorante verde; sirve en el vaso decorado, agrega crema batida y coloca la Paleta Payasusto Ricolino®. Disfruta.']",https://cdn7.kiwilimon.com/brightcove/5957/5957.jpg,1
ATOLE DE GUAYABA Y ARROZ,Bebidas,20 mins,Facil,4,"['5 guayabas, cortadas en mitades', '2 tazas de agua', '1 raja de canela', '2 tazas de leche de vaca', '1 cucharadita de bicarbonato', '1 taza de leche condensada', '1/4 tazas de harina de arroz', 'al gusto de canela en polvo, para decorar']","['Calienta el agua y cocina las guayabas. Licúa y reserva.', 'Calienta la leche con la raja de canela, la leche condensada y el bicarbonato.', 'Con ayuda de un colador agrega la guayaba, la harina de arroz y cocina a fuego medio hasta que espese ligeramente.', 'Sirve bien caliente en una taza, espolvoreado con canela en polvo.']",https://cdn7.kiwilimon.com/brightcove/5760/5760.jpg,15
ATOLE LIGERO DE FRESA,Bebidas,10 mins,Facil,4,"['1 litro de Ades® soya', '1/4 tazas de azúcar morena', '2 tazas de fresa, lavadas y desinfectadas', '1 cucharada de vainilla clara', '3 cucharadas de fécula de maiz', '1/4 tazas de nuez', 'suficiente de fresa, para servir', 'suficiente de nuez, picada, para decorar']","['Licúa un litro de AdeS® Soya con el azúcar, las fresas, la vainilla, la fécula y la nuez hasta obtener una mezcla homogénea.', 'Calienta el atole en una ollita a fuego medio sin dejar de mover hasta que espese, sirve caliente y decora con fresas y nuez picada. Disfruta.']",https://cdn7.kiwilimon.com/brightcove/4393/4393.jpg,14
FRESCA MIMOSA DE FRESA,Bebidas,30 mins,Facil,4,"['1/4 tazas de fresa', 'suficiente de agua', 'suficiente de champagne', '1 fresa, en rebanadas para decorar']","['Licúa las fresas con el agua hasta obtener una mezcla tersa y líquida. Cuela.', 'En una copa flauta vierte el jugo de fresas y rellena con la champaña, decora con una rebanada de fresa.']",https://cdn7.kiwilimon.com/brightcove/4469/4469.jpg,1
